scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;76;0.5;0.5041666666666667;5.0;1.0;0.5;5.0;100.0;False;True;10;9544;46536550
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;77;0.5;0.4983685260388046;5.0;1.0;0.5;5.0;100.0;False;True;45;92839;551956399
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;80;0.5;0.5044191919191918;5.0;1.0;0.5;5.0;100.0;False;True;8;4300;21558575
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;81;0.5;0.4961342436261902;5.0;1.0;0.5;5.0;100.0;False;True;32;46906;236725455
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;82;0.5;0.5018899053874423;5.0;1.0;0.5;5.0;100.0;False;True;26;1840;5296802
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;48;0.5;0.5040917827844822;5.0;1.0;0.5;5.0;50.0;False;True;27;271465;2456435352
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;72;0.5;0.4966164652038716;5.0;1.0;0.5;5.0;100.0;False;True;22;203692;1691324933
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;85;0.5;0.5007992007992008;5.0;1.0;0.5;5.0;100.0;False;True;17;16826;58199925
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;59;0.5;0.4986432274059048;5.0;1.0;0.5;5.0;100.0;False;True;26;333075;2529774248
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;60;0.5;0.495337875645963;5.0;1.0;0.5;5.0;100.0;False;True;66;311447;2554828334
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;86;0.5;0.5038820407464475;5.0;1.0;0.5;5.0;100.0;False;True;65;77188;406046355
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;79;0.5;0.4956439393939393;5.0;1.0;0.5;5.0;100.0;False;True;24;286987;2697755267
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;90;0.5;0.5031562190192939;5.0;1.0;0.5;5.0;100.0;False;True;8;4957;27242237
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;18;0.5;0.5026617526617527;5.0;1.0;0.5;5.0;50.0;False;True;25;603192;5444856475
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;92;0.5;0.4952553485162181;5.0;1.0;0.5;5.0;100.0;False;True;17;4199;16258333
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;91;0.5;0.4984418313116867;5.0;1.0;0.5;5.0;100.0;False;True;32;185618;1551166671
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;58;0.5;0.5011217636410757;5.0;1.0;0.5;5.0;100.0;False;True;21;600845;5196914758
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;89;0.5;0.5011403932946485;5.0;1.0;0.5;5.0;100.0;False;True;27;382493;3261688308
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;96;0.5;0.5027934125495102;5.0;1.0;0.5;5.0;100.0;False;True;8;4626;17350915
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;97;0.5;0.4956803547605434;5.0;1.0;0.5;5.0;100.0;False;True;15;2397;11247733
