use_idlesim;safe_oracles;unsafe_oracles;use_case;scheduler;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5471;0.75;0.7464285714285714;5.0;1.0;0.5;5.0;30.0;False;True;21;31346;360123349
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5205;0.75;0.7523590539894888;5.0;0.0;0.5;5.0;30.0;False;True;27;579307;25353600042
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5475;0.75;0.7458333333333333;5.0;0.0;0.5;5.0;30.0;False;True;8;694;6516422
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5467;0.75;0.7506060606060605;5.0;0.0;0.5;5.0;30.0;False;True;20;19137;585646358
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5459;0.75;0.7500044889750772;5.0;0.0;0.5;5.0;30.0;False;True;15;29406;1161243413
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5476;0.75;0.751984126984127;5.0;0.0;0.5;5.0;30.0;False;True;21;25459;206901371
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5462;0.75;0.7534236596736598;5.0;0.0;0.5;5.0;30.0;False;True;15;28893;1137773290
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5480;0.75;0.7486291486291486;5.0;0.0;0.5;5.0;30.0;False;True;9;5443;44172243
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5436;0.75;0.7478070175438596;5.0;0.0;0.5;5.0;30.0;False;False;22;94313;3979878118
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5369;0.75;0.747995452823039;5.0;0.0;0.5;5.0;30.0;False;True;29;309606;11074583831
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5473;0.75;0.7463764993176758;5.0;0.0;0.5;5.0;30.0;False;True;34;67212;950957246
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5484;0.75;0.7464285714285714;5.0;0.0;0.5;5.0;30.0;False;True;19;5225;87189981
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5470;0.75;0.7506877990430623;5.0;0.0;0.5;5.0;30.0;False;True;29;89779;1393200195
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5275;0.75;0.7462631429383348;5.0;0.0;0.5;5.0;30.0;False;True;44;459991;21811720499
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5483;0.75;0.7509157509157509;5.0;0.0;0.5;5.0;30.0;False;True;11;11269;409109867
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5465;0.75;0.745897435897436;5.0;0.0;0.5;5.0;30.0;False;True;25;67780;1814083692
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5330;0.75;0.7527150385846038;5.0;0.0;0.5;5.0;30.0;False;True;60;968280;16677618306
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5489;0.75;0.7539473684210527;5.0;1.0;0.5;5.0;30.0;False;True;15;3768;73460926
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5485;0.75;0.7485994397759104;5.0;1.0;0.5;5.0;30.0;False;True;47;44773;498203571
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5491;0.75;0.7459595959595959;5.0;0.0;0.5;5.0;30.0;False;True;9;9952;130684693
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5423;0.75;0.7535279263220439;5.0;0.0;0.5;5.0;30.0;False;False;33;157319;5821151442
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5490;0.75;0.7455433455433454;5.0;0.0;0.5;5.0;30.0;False;True;24;19303;445067909
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5450;0.75;0.7466450216450217;5.0;1.0;0.5;5.0;30.0;False;True;23;213648;3610841338
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5482;0.75;0.7473768556005398;5.0;1.0;0.5;5.0;30.0;False;True;17;43048;1286871323
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5487;0.75;0.7472008547008547;5.0;0.0;0.5;5.0;30.0;False;True;13;40346;861346508
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5474;0.75;0.7507430628120283;5.0;0.0;0.5;5.0;30.0;False;True;16;52188;2100312980
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5499;0.75;0.7511148272017837;5.0;0.0;0.5;5.0;30.0;False;True;27;4342;69046016
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5498;0.75;0.7486111111111111;5.0;0.0;0.5;5.0;30.0;False;True;18;27815;320180139
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5494;0.75;0.7507284382284383;5.0;1.0;0.5;5.0;30.0;False;True;20;50440;649658503
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5244;0.75;0.7487373737373737;5.0;0.0;0.5;5.0;30.0;False;True;38;1086774;25747868059
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5481;0.75;0.754911754911755;5.0;0.0;0.5;5.0;30.0;False;True;19;55188;1948210007
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5504;0.75;0.7495421245421245;5.0;1.0;0.5;5.0;30.0;False;True;27;17488;383734729
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5502;0.75;0.7488927738927739;5.0;0.0;0.5;5.0;30.0;False;True;21;35245;622775255
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5356;0.75;0.7509462759462759;5.0;0.0;0.5;5.0;30.0;False;True;30;311821;15251932990
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5501;0.75;0.7467391304347826;5.0;0.0;0.5;5.0;30.0;False;True;14;21391;709190677
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5506;0.75;0.7523809523809524;5.0;0.0;0.5;5.0;30.0;False;True;7;1824;27998181
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5507;0.75;0.7504227053140096;5.0;0.0;0.5;5.0;30.0;False;True;8;4994;65232838
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5508;0.75;0.7452485380116959;5.0;0.0;0.5;5.0;30.0;False;True;18;1089;23031779
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;4484;0.7;0.7041083916083916;5.0;0.0;0.5;5.0;30.0;False;True;47;1782556;67622766796
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5511;0.75;0.754610177404295;5.0;0.0;0.5;5.0;30.0;False;True;7;1827;46375933
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;4882;0.7;0.7038095238095239;5.0;1.0;0.5;5.0;30.0;False;True;30;906257;48215743659
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5512;0.75;0.7513537187450231;5.0;0.0;0.5;5.0;30.0;False;True;27;7103;159696129
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5224;0.75;0.7510191260644982;5.0;0.0;0.5;5.0;30.0;False;True;29;558375;28104999630
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5514;0.75;0.7478116246498598;5.0;0.0;0.5;5.0;30.0;False;True;23;4232;83212964
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5308;0.75;0.7483397190293741;5.0;0.0;0.5;5.0;30.0;False;True;28;443780;21112718850
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5517;0.75;0.7520985958485958;5.0;0.0;0.5;5.0;30.0;False;True;26;6230;72943393
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5493;0.75;0.7484126984126984;5.0;0.0;0.5;5.0;30.0;False;True;33;105515;2107121437
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5519;0.75;0.7458333333333333;5.0;0.0;0.5;5.0;30.0;False;True;10;11047;255285827
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5496;0.75;0.7542207792207793;5.0;0.0;0.5;5.0;30.0;False;True;32;52018;2002151607
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5291;0.75;0.7505971040453798;5.0;1.0;0.5;5.0;30.0;False;True;31;605465;22502704413
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5518;0.75;0.7469679633867277;5.0;0.0;0.5;5.0;30.0;False;True;16;12024;423411482
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5478;0.75;0.7529201680672268;5.0;1.0;0.5;5.0;30.0;False;True;23;85740;3707760605
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5013;0.75;0.7495614035087719;5.0;0.0;0.5;5.0;30.0;False;True;35;1748932;41600701732
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5525;0.75;0.7484615384615385;5.0;1.0;0.5;5.0;30.0;False;True;12;12130;224869618
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5440;0.75;0.7458379709089649;5.0;0.0;0.5;5.0;30.0;False;True;21;192091;7529257385
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5524;0.75;0.7490460927960928;5.0;0.0;0.5;5.0;30.0;False;True;11;16997;332096337
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5520;0.75;0.7527777777777778;5.0;1.0;0.5;5.0;30.0;False;True;17;61197;710000316
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5526;0.75;0.7490404332509595;5.0;0.0;0.5;5.0;30.0;False;True;36;9957;175959889
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5529;0.75;0.7541666666666667;5.0;0.0;0.5;5.0;30.0;False;True;18;12698;184534213
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5530;0.75;0.7450299700299701;5.0;0.0;0.5;5.0;30.0;False;True;21;10480;146855504
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5316;0.75;0.7502552272289114;5.0;0.0;0.5;5.0;30.0;False;True;37;502074;21054062579
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5503;0.75;0.752564987347596;5.0;1.0;0.5;5.0;30.0;False;True;20;100549;2194616253
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5495;0.75;0.7520833333333333;5.0;0.0;0.5;5.0;30.0;False;True;26;182382;2856963833
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5531;0.75;0.7496501749125437;5.0;0.0;0.5;5.0;30.0;False;True;32;21576;248016015
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5536;0.75;0.746031746031746;5.0;0.0;0.5;5.0;30.0;False;True;8;2062;35560579
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5075;0.75;0.745598699546068;5.0;1.0;0.5;5.0;30.0;False;True;70;1891330;37700181689
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5516;0.75;0.7501665001665001;5.0;0.0;0.5;5.0;30.0;False;True;31;39700;1414304149
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5500;0.75;0.7456876456876457;5.0;0.0;0.5;5.0;30.0;False;True;19;143867;2636927250
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5513;0.75;0.7529252974333065;5.0;0.0;0.5;5.0;30.0;False;True;17;48473;1875746917
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5538;0.75;0.7450396825396826;5.0;0.0;0.5;5.0;30.0;False;True;26;36541;487517585
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5497;0.75;0.7460317460317459;5.0;0.0;0.5;5.0;30.0;False;True;28;70940;3321218074
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5523;0.75;0.748659692710036;5.0;0.0;0.5;5.0;30.0;False;True;19;33053;1516255579
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5534;0.75;0.7537878787878788;5.0;1.0;0.5;5.0;30.0;False;True;28;41393;864035081
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5545;0.75;0.7541264090177133;5.0;0.0;0.5;5.0;30.0;False;True;28;8982;104866312
True;[];['hi-over-demand'];EDF-VD (exact);edfvd;outputs/20251022_055741-scheduling-rtss.txt;5546;0.75;0.7458310107766629;5.0;0.0;0.5;5.0;30.0;False;True;16;2090;23377014
